State_Code,State_Name,Area_SqKm,Total_Population,Rural_Population,Urban_Population,Growth_Rate,Sex_Ratio,Literacy_Rate,Male_Literacy,Female_Literacy,Number_of_Districts,Villages,Number_of_Schools,Enrollment_in_Schools,Enrollment_Rural_Schools,Enrollment_Urban_Schools,Number_of_Teachers,Teachers_Rural_Schools,Teachers_Urban_Schools,Schools_Single_Classroom,Single_Teacher_School,Girls_School,Boys_School,Co-Education_School,Schools_with_Ramps,Library,Librarian,CWSN_School,Lab_Assistant,Boys_Hostel,Girls_Hostel,Schools_Internet,Schools_ICT_Lab,Playground,Medical_Checkup,SMDC,PTA,Classrooms,Female_Teachers,Phyiscs_Lab,Chemistry_Lab,Biology_Lab,Computer_Lab,Maths_Lab,Language_Lab,Geography_Lab,Psychology_Lab,Social_Science_Lab,Female_Professional_Teacher,Male_Professional_Teacher,Male_Regular_Teacher,Female_Regular_Teacher,Male_Contract_Teacher,Feamle_Contract_Teacher,Girls_Enrollment,Boys_Enrollment,Boys_Repeaters,Girls_Repeaters,Boys_CWSN,Girls_CWSN,Arts_Students,Science_Students,Commerce_Students,Vocational_Students,Other_Students
1,Jammu And Kashmir,222236,12548.93,12528.88,20.05,23.71,883,68.74,78.26,58.01,22,7263,4202,584967,386265,198702,31275,20961,10314,67,0,180,97,3925,1104,3740,705,24,1402,59,46,823,696,3235,2612,3462,3559,18287,12977,533,535,505,506,97,52,52,18,25,12977,18298,18232,12948,66,29,270721,417780,10142,7393,3072,2495,139298,89024,14923,381,503
2,Himachal Pradesh,55673,6856.51,6847.82,8.69,12.81,974,83.78,90.83,76.6,12,10120,3782,482494,400143,82351,30545,26134,4411,113,0,54,26,3702,1913,3748,785,16,1873,77,64,1980,1940,3590,3540,2357,628,17259,13343,521,527,518,799,151,53,89,10,31,13343,17202,16704,13032,498,311,225509,321164,14690,9792,2531,1857,122284,69201,34724,386,0
3,Punjab,50362,27704.24,27674.42,29.82,13.73,893,76.68,81.48,71.34,22,13195,9171,1578960,871014,707946,81117,47858,33259,132,12,378,133,8660,1674,9012,1895,30,2773,104,115,7742,4857,8935,6801,4380,4508,47643,55630,1558,1584,1473,2120,1080,458,257,73,266,55630,25487,25413,55464,74,166,692167,1151725,21738,9038,9803,10887,418949,151189,95230,25137,940
4,Chandigarh,114,1054.69,978.03,76.66,17.1,818,86.43,90.54,81.38,1,84,160,80160,6166,73994,3951,329,3622,1,0,3,1,156,80,160,77,1,90,7,7,156,71,155,159,85,45,1805,3076,65,64,60,68,50,28,21,8,28,3076,875,872,3067,3,9,34738,57229,1818,711,1231,851,15328,10156,7842,3032,0
5,Uttarakhand,53483,10116.75,10095.21,21.54,19.17,963,79.63,88.33,70.7,13,11989,3512,697294,508211,187683,35391,29824,5536,46,23,259,108,3145,492,3198,445,28,83,128,80,1293,501,2082,2610,2533,2610,18270,11078,773,766,727,906,297,133,217,54,157,11078,24313,23195,10255,1118,823,337500,461394,25217,18825,1482,1298,162764,102081,20447,126,1096
6,Haryana,44212,25353.08,25328.96,24.12,19.9,877,76.64,85.38,66.77,21,7438,7663,1475045,888497,586548,85423,58907,26516,45,9,496,241,6926,2536,7575,1249,1,1298,84,77,4875,3703,6994,6339,3329,3616,45759,43947,1681,1656,1447,2667,1017,549,633,157,455,43947,41476,41370,43860,106,87,649155,1078182,20492,12197,5727,4308,281303,175532,138106,991,23
7,Delhi                         ,1483,16753.24,16676.21,77.03,20.96,866,86.34,91.03,80.93,9,1201,2061,1208151,21838,1186313,47316,1000,46316,0,0,355,434,1272,1660,2059,1655,5,1628,7,4,1687,697,1894,1566,102,1520,28421,30338,903,903,867,1171,931,392,426,149,685,30338,16978,16978,30338,0,0,570170,833601,57900,41646,7231,6165,271073,95440,132017,17940,0
8,Rajasthan                     ,342239,68621.01,68601.75,19.26,21.44,926,67.06,80.51,52.66,33,41441,28195,3988574,2596594,1391980,160904,110902,50002,526,23,631,26,27538,8162,25369,6445,228,3720,1655,616,10151,10705,20009,23143,19640,12858,113418,47308,2994,3004,2835,5716,1427,960,3661,310,1926,47308,113596,112376,46873,1220,435,1667083,3018023,72880,52686,11164,7527,1125432,377362,113677,1975,6367
9,Uttar Pradesh,240928,199581.48,199564.17,17.31,20.09,908,69.72,79.24,59.26,75,98470,24569,11981220,9725972,2254670,175352,132193,43149,11,1769,1826,677,22066,9370,19040,6968,1021,4345,650,544,4215,7545,15189,10785,9961,5838,227246,46683,5562,5455,5290,4540,1776,1360,2312,873,2740,46683,128543,126688,45955,1855,728,5623972,8228747,105185,67489,16613,13163,2890330,1329105,127871,45888,353172
10,Bihar,94163,103804.64,103796.28,8.36,25.07,916,63.82,73.39,53.33,38,40779,7627,4657852,3645753,1012099,66406,50352,16054,44,42,753,108,6766,2221,6810,2435,99,631,516,176,833,1092,5571,2973,5388,2040,47688,14330,879,841,816,926,262,201,323,298,290,14330,51183,51115,14314,68,16,2278477,3513141,25012,18993,14237,11384,441498,364360,44531,4346,6101
